"name","abd","abd_unit","lat","lng","state","county","comment"
"Mammuthus","","",18.616667,-97.900002,"Puebla","",""
"Mammuthus","","",43.0,-118.0,"Idaho","Owyhee",""
"Mammuthus","","",37.047699,-100.495201,"Kansas","Meade",""
"Mammuthus columbi","","",40.200001,-98.099998,"Nebraska","Nuckolls",""
"Mammuthus columbi","","",37.099998,-100.900002,"Kansas","Seward",""
"Mammuthus columbi","","",36.799999,-100.5,"Oklahoma","Beaver",""
"Mammuthus","","",43.799999,-99.199997,"South Dakota","Brule",""
"Mammuthus","","",32.900002,-117.099998,"California","San Diego",""
"Mammuthus columbi","","",35.0,-101.900002,"Texas","Randall",""
"Mammuthus","","",33.900002,-117.0,"California","Riverside",""
"Mammuthus","","",33.900002,-117.0,"California","Riverside",""
"Mammuthus","","",33.900002,-117.0,"California","Riverside",""
"Mammuthus","","",33.900002,-117.0,"California","Riverside",""
"Mammuthus","","",33.900002,-117.0,"California","Riverside",""
"Mammuthus","","",33.900002,-117.0,"California","Riverside",""
"Mammuthus","","",34.799999,-117.0,"California","San Bernardino",""
"Mammuthus","37","specimens",34.799999,-117.0,"California","San Bernardino","specimens"
"Mammuthus hayi","","",21.799999,-102.300003,"Aguascalientes","",""
"Mammuthus","","",34.5,-100.099998,"Texas","Childress",""
"Mammuthus","","",28.799168,-82.070274,"Florida","Sumter",""
"Mammuthus columbi","","",37.200001,-100.300003,"Kansas","Meade",""
"Mammuthus","","",64.800003,-147.800003,"Alaska","Fairbanks North Star",""
"Mammuthus","","",37.200001,-100.300003,"Kansas","Meade",""
"Mammuthus","","",36.700001,-99.900002,"Oklahoma","Harper",""
"Mammuthus columbi","","",46.400002,-105.800003,"Montana","Custer",""
"Mammuthus","","",52.206112,-106.576942,"Saskatchewan","",""
"Mammuthus columbi","","",34.0,-99.800003,"Texas","Foard",""
"Mammuthus columbi","","",31.700001,-114.5,"Sonora","",""
"Mammuthus columbi","","",33.599998,-117.800003,"California","Orange",""
"Mammuthus","","",34.799999,-117.0,"California","San Bernardino",""
"Mammuthus","","",37.056667,-120.195831,"California","Madera",""
"Mammuthus columbi","","",35.5,-106.199997,"New Mexico","Santa Fe",""
"Mammuthus hayi","","",33.75,-99.5,"Texas","Knox and Baylor",""
"Mammuthus hayi","","",43.0,-115.699997,"Idaho","Elmore",""
"Mammuthus","","",64.800003,-147.800003,"Alaska","Fairbanks North Star",""
"Mammuthus columbi","","",42.700001,-102.5,"Nebraska","Sheridan",""
"Mammuthus columbi","","",38.299999,-97.599998,"Kansas","McPherson",""
"Mammuthus columbi","","",48.799999,-110.0,"Montana","Hill",""
"Mammuthus columbi","","",42.700001,-102.5,"Nebraska","Sheridan",""
"Mammuthus","","",40.599998,-98.5,"Nebraska","Adams",""
"Mammuthus","","",40.5,-98.099998,"Nebraska","Clay",""
"Mammuthus hayi","","",34.400002,-98.900002,"Oklahoma","Tillman",""
"Mammuthus columbi","","",32.900002,-117.099998,"California","San Diego",""
"Mammuthus columbi","","",37.599998,-122.0,"California","Alameda",""
"Mammuthus columbi","","",38.700001,-98.099998,"Kansas","Ellsworth",""
"Mammuthus hayi","","",32.0,-106.699997,"New Mexico","Dona Ana",""
"Mammuthus hayi","","",32.0,-106.699997,"New Mexico","Dona Ana",""
"Mammuthus hayi","","",27.700001,-82.5,"Florida","Hillsborough",""
"Mammuthus","","",27.700001,-82.5,"Florida","Hillsborough",""
"Mammuthus","","",27.700001,-82.5,"Florida","Hillsborough",""
"Mammuthus columbi","","",32.900002,-117.099998,"California","San Diego",""
"Mammuthus hayi","","",32.900002,-117.099998,"California","San Diego",""
"Mammuthus","","",34.5,-101.300003,"Texas","Briscoe",""
"Mammuthus columbi","","",34.5,-101.300003,"Texas","Briscoe",""
"Mammuthus columbi","","",50.099998,-110.699997,"Alberta","",""
"Mammuthus columbi","","",34.0,-99.800003,"Texas","Foard",""
"Mammuthus","","",40.799999,-124.199997,"California","Humboldt",""
"Mammuthus","","",65.099998,-150.100006,"Alaska","Yukon-Koyukuk",""
"Mammuthus hayi","","",68.199997,-140.0,"Yukon","",""
"Mammuthus","","",68.199997,-140.0,"Yukon","",""
"Mammuthus","","",68.199997,-140.0,"Yukon","",""
"Mammuthus","","",68.199997,-140.0,"Yukon","",""
"Mammuthus columbi","","",27.799999,-82.800003,"Florida","Pinellas",""
"Mammuthus","","",27.799999,-82.800003,"Florida","Pinellas",""
"Mammuthus columbi","","",33.900002,-117.0,"California","Riverside",""
"Mammuthus hayi","","",33.900002,-117.0,"California","Riverside",""
"Mammuthus hayi","","",27.9,-81.800003,"Florida","Polk",""
"Mammuthus hayi","","",26.9,-82.0,"Florida","Charlotte",""
"Mammuthus","","",33.900002,-117.0,"California","Riverside",""
"Mammuthus","","",29.1,-82.300003,"Florida","Marion",""
"Mammuthus","","",29.683332,-109.650002,"Sonora","",""
"Mammuthus hayi","","",34.5,-101.300003,"Texas","Briscoe",""
"Mammuthus columbi","","",42.700001,-102.5,"Nebraska","Sheridan",""
"Mammuthus columbi","","",38.299999,-97.599998,"Kansas","McPherson",""
"Mammuthus","","",33.5,-108.800003,"New Mexico","Catron",""
"Mammuthus","","",29.700001,-82.599998,"Florida","Gilchrist",""
"Mammuthus columbi","1","specimens",33.900002,-117.0,"California","Riverside","specimens"
"Mammuthus columbi","","",36.099998,-117.900002,"California","Inyo",""
"Mammuthus columbi","","",33.700001,-101.900002,"Texas","Lubbock",""
