"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","abund_value","abund_unit","lng","lat","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments"
"196029","occ","","","20143","Mammuthus imperator","species","47877","subjective synonym of","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","2419","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-98.099998","40.200001","US","Nebraska","Nuckolls","based on political unit","1","small collection",""
"196055","occ","9190","","20148","Mammuthus imperator","species","47877","subjective synonym of","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","2391","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-100.900002","37.099998","US","Kansas","Seward","based on political unit","1","","1.5 mi E of Arkalon Station"
"196127","occ","","","20157","Mammuthus cf. columbi","species","47873","","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","3211","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-100.500000","36.799999","US","Oklahoma","Beaver","based on political unit","1","","4.5 mi N and 1 mi W of Gate"
"196167","occ","","","20163","Mammuthus cf. imperator","species","47877","subjective synonym of","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","6202","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-101.900002","35.000000","US","Texas","Randall","based on political unit","1","","Newton Harrell/Bill Howse Ranch, 8 km S and 18 km E of Canyon"
"196741","occ","9308","","20283","Mammuthus cf. hayi","species","47876","","Mammuthus hayi","species","44254","Irvingtonian","","1.8","0.3","6294","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-102.300003","21.799999","MX","Aguascalientes","","based on nearby landmark","1","","SE of Aguascalientes"
"196938","occ","","","20295","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","1907","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-100.300003","37.200001","US","Kansas","Meade","based on political unit","1","small collection",""
"197189","occ","","","20310","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","4222","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-105.800003","46.400002","US","Montana","Custer","based on political unit","1","","north of Miles City"
"197259","occ","9438","","20318","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","6294","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-99.800003","34.000000","US","Texas","Foard","based on political unit","1","",""
"197303","occ","","","20322","Mammuthus imperator","species","47877","subjective synonym of","Mammuthus columbi","species","46017","Blancan","","4.9","1.8","2245","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-114.500000","31.700001","MX","Sonora","","based on nearby landmark","1","","mouth of Colorado River"
"197333","occ","","","20323","Mammuthus cf. imperator","species","47877","subjective synonym of","Mammuthus columbi","species","46017","Irvingtonian","Rancholabrean","1.8","0.012","2018","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-117.800003","33.599998","US","California","Orange","based on political unit","1","","Ralph Clark Regional Park, Fullerton"
"197418","occ","","","20339","Mammuthus imperator","species","47877","subjective synonym of","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","1794","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-106.199997","35.500000","US","New Mexico","Santa Fe","based on political unit","1","","1 mi SW of Galisteo"
"197453","occ","9478","","20342","Mammuthus hayi","species","47876","","Mammuthus hayi","species","44254","Irvingtonian","","1.8","0.3","6294","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-99.500000","33.750000","US","Texas","Knox and Baylor","based on political unit","2","",""
"197466","occ","9486","","20343","Mammuthus hayi","species","47876","","Mammuthus hayi","species","44254","Irvingtonian","","1.8","0.3","3574","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-115.699997","43.000000","US","Idaho","Elmore","based on political unit","1","","2 mi SE of Glenns Ferry"
"197504","occ","","","20347","Mammuthus imperator","species","47877","subjective synonym of","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","1916","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-102.500000","42.700001","US","Nebraska","Sheridan","based on political unit","1","small collection",""
"197601","occ","","","20353","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","3099","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-97.599998","38.299999","US","Kansas","McPherson","based on political unit","1","",""
"197706","occ","","","20373","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","4222","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-110.000000","48.799999","US","Montana","Hill","based on political unit","1","","Havre"
"197723","occ","","","20375","Mammuthus imperator","species","47877","subjective synonym of","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","1916","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-102.500000","42.700001","US","Nebraska","Sheridan","based on political unit","1","small collection",""
"197750","occ","9550","","20382","Mammuthus hayi","species","47876","","Mammuthus hayi","species","44254","Irvingtonian","","1.8","0.3","6294","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-98.900002","34.400002","US","Oklahoma","Tillman","based on political unit","1","","1 mi N of Frederick"
